#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5724       0.1813       0.8730       0.8456       0.8395
       3       1.6769       0.1917       0.7916       0.7345       0.8069
       4       1.7174       0.1952       0.9130       0.8363       0.8604
       5       1.7612       0.1779       0.8061       0.8753       0.9651
       6       1.7236       0.1837       0.8794       0.8216       0.8871
       7       1.5548       0.3784       0.8681       0.5943       0.7888
       8       1.6754       0.3374       0.8327       0.5999       0.8974
       9       1.7110       0.3078       0.8901       0.5632       0.8746
      10       1.6748       0.3284       0.7632       0.7902       0.9484
      11       1.6811       0.3233       1.0049       0.5902       0.8773
      12       1.5752       0.6427       1.6789       0.6090       1.9114
      13       1.7764       0.8960       1.8901       0.9207       2.3534
      14       1.3446       0.7997       1.6681       0.7293       2.4557
      15       1.3843       0.8256       1.0349       0.7896       2.2141
      16       1.3431       0.8602       1.3748       0.7743       2.4089
      17       1.7910       1.1865       1.1996       0.5751       1.4536
      18       1.4559       0.9753       1.4058       0.6784       1.5634
      19       2.2851       0.9253       1.3976       0.6724       1.5543
      20       2.2958       1.0071       1.1975       0.6228       1.5332
      21       3.8895       1.1524       1.7823       1.0885       2.2178
      22       3.8487       1.0043       1.8269       0.9397       2.5878
      23       3.9058       1.1356       2.0671       0.7690       2.3508
      24       3.2037       1.4101       2.6370       1.2318       2.5704
      25       2.6445       1.4203       2.1134       0.9321       2.3706
      26       4.0741       1.4041       2.1050       0.8308       2.1758
      27       3.4781       1.3333       3.4787       1.0849       2.3554
      28       3.5681       1.2222       3.6909       1.0031       2.4974
      29       2.8122       1.2471       4.0340       0.7133       2.3939
      30       3.4237       1.2111       4.2058       1.0615       2.8213
      31       3.2414       1.2318       3.1349       1.3292       2.1530
      32       3.5538       1.3594       3.6628       1.2734       2.5862
      33       3.2455       1.3583       3.5846       1.3377       2.5742
      34       2.3524       1.3429       3.6446       0.9376       2.2936
      35       2.1665       1.3200       3.4000       0.8909       2.2987
      36       3.0627       1.2618       4.0710       1.2093       2.7967
      37       2.4618       1.2433       3.5254       1.0425       2.6025
      38       2.9152       1.3938       4.1860       0.9674       2.2492
      39       2.9809       1.3332       3.4279       0.9706       2.2163
      40       2.3533       1.3739       3.3752       1.2411       2.2042
      41       2.3568       1.3463       3.2558       1.3273       2.5044
      42       2.8896       1.4339       3.4457       1.3414       2.3601
      43       2.7055       1.3805       3.3531       1.2351       2.5648
      44       2.5658       1.5379       3.6589       1.1159       2.5943
      45       2.6813       1.4504       3.1426       1.1205       2.1096
      46       2.2503       1.3334       2.8679       0.9839       2.2277
      47       2.3276       1.5706       3.0699       1.1677       2.2786
      48       1.9420       1.4650       3.1295       1.0863       1.9943
      49       2.2575       1.6047       2.7873       1.0276       2.2077
      50       2.3987       1.4629       2.9972       0.9636       1.9312
      51       2.3002       1.9412       2.9566       1.0497       2.3111
      52       2.2386       1.7449       2.9860       0.8977       1.9433
      53       2.2456       1.7299       2.9148       0.9584       2.2332
      54       2.7050       1.7755       2.8216       1.2375       2.1224
      55       2.0790       1.5295       3.1081       1.2176       2.7540
      56       2.0569       1.5596       3.3730       0.9486       1.8834
      57       2.4443       1.5166       2.9949       0.9124       1.8406
      58       2.1356       1.4683       3.4364       0.9818       2.2890
      59       3.3637       1.5844       3.5471       1.1708       2.5406
      60       2.7173       1.6629       3.4486       1.4460       2.2876
      61       2.6059       1.3861       3.6496       0.9654       2.3042
      62       2.0514       1.4899       3.2688       0.7794       2.0569
      63       2.6066       1.5181       3.4564       1.0266       2.1075
      64       3.7217       1.8260       3.6129       1.2205       2.2647
      65       2.7372       1.8936       3.5044       1.1427       2.5837
      66       2.9907       1.7516       3.1044       1.1108       2.3022
      67       2.6277       1.7577       2.9072       1.1924       2.3432
      68       2.7870       1.5646       3.3735       1.3691       2.6095
      69       3.1949       1.5146       3.6792       1.1228       2.5217
      70       2.5844       1.5905       3.0166       0.9010       2.2020
      71       3.2681       1.6831       3.3930       1.1252       2.5884
      72       2.5066       1.4836       3.4066       0.5232       2.1861
      73       2.8612       1.5396       3.1283       1.0373       2.1291
      74       3.2296       1.4924       3.6449       1.1506       2.2767
      75       2.6697       1.4403       3.3292       0.9668       2.4902
      76       3.9311       1.4475       3.6489       1.0622       2.7223
      77       3.4250       1.2793       3.7028       1.0897       3.0382
      78       3.4502       1.4893       3.3487       1.2091       2.4437
      79       3.3773       1.6274       3.8108       1.5944       2.6700
