#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4316       0.1843       0.7428       0.6649       0.7066,       2       1.5522       0.1790       0.6780       0.7104       0.7624,       2       1.5163       0.1818       0.7342       0.7214       0.7627,       2       1.4765       0.1948       0.7703       0.7166       0.9050,       2       1.6121       0.1897       0.8318       0.8010       0.8629,       2       1.5724       0.1813       0.8730       0.8456       0.8395,       2       1.4873       0.1769       0.7301       0.7065       0.7676,       2       1.5037       0.1939       0.7615       0.7441       0.8839,       2       1.5682       0.2014       0.8342       0.9122       0.8319,       2       1.4676       0.1824       0.6977       0.7059       0.7825
       3       1.6431       0.1845       0.7742       0.8050       0.8521,       3       1.6659       0.1959       0.8856       0.8722       0.9339,       3       1.6521       0.1931       0.7499       0.8702       0.8817,       3       1.6306       0.1930       0.7751       0.7967       0.8647,       3       1.7013       0.1835       0.8376       0.8847       0.9289,       3       1.6769       0.1917       0.7916       0.7345       0.8069,       3       1.6193       0.1821       0.8297       0.7571       0.8636,       3       1.6527       0.2084       0.8950       0.8219       0.9229,       3       1.6851       0.1931       0.9089       0.7703       0.9281,       3       1.5943       0.1954       0.7518       0.7728       0.7813
       4       1.7263       0.1822       0.8586       0.8928       0.8614,       4       1.7195       0.1981       0.8774       0.8832       0.9450,       4       1.6877       0.1971       0.8786       0.7912       0.7864,       4       1.6988       0.1794       0.8577       0.8401       0.9549,       4       1.7386       0.1897       0.8970       0.8627       0.9658,       4       1.7174       0.1952       0.9130       0.8363       0.8604,       4       1.7043       0.1842       0.8235       0.8298       0.9752,       4       1.7581       0.1821       0.8320       0.7934       0.8764,       4       1.7169       0.1953       0.7824       0.7937       0.8248,       4       1.7250       0.1791       0.9229       0.8068       0.9278
       5       1.7145       0.1909       0.8420       0.8943       0.9107,       5       1.7362       0.1873       0.8149       0.8817       0.9304,       5       1.7344       0.1852       0.8795       0.7605       0.9536,       5       1.6810       0.1894       0.9180       0.8587       0.9498,       5       1.7478       0.1872       0.9002       0.7806       0.9669,       5       1.7612       0.1779       0.8061       0.8753       0.9651,       5       1.6620       0.1961       0.7891       0.8175       0.9415,       5       1.7591       0.1936       0.7871       0.8556       0.9521,       5       1.7208       0.2108       0.8685       0.8325       0.9788,       5       1.7290       0.1941       0.9194       0.8392       0.8524
       6       1.7577       0.1838       0.8023       0.9092       0.9561,       6       1.7395       0.1846       0.9043       0.8011       0.8846,       6       1.7578       0.1902       0.9662       0.8332       0.9121,       6       1.7111       0.1896       0.8733       0.7769       0.8989,       6       1.7614       0.1923       0.9344       0.9284       0.9273,       6       1.7236       0.1837       0.8794       0.8216       0.8871,       6       1.7201       0.1903       0.8746       0.8429       0.9652,       6       1.7022       0.1907       0.8728       0.8640       0.8958,       6       1.7397       0.1904       0.8662       0.9168       0.9298,       6       1.7811       0.1930       0.8050       0.9436       0.8930
       7       1.7040       0.3275       0.6404       0.5926       0.9438,       7       1.6457       0.3287       0.9755       0.5228       0.8060,       7       1.6622       0.3589       0.8806       0.6895       0.8648,       7       1.6884       0.3348       0.9474       0.5993       0.8099,       7       1.7144       0.3196       1.0481       0.6885       0.7733,       7       1.5548       0.3784       0.8681       0.5943       0.7888,       7       1.7239       0.3032       0.8366       0.6888       0.7084,       7       1.6559       0.3290       0.9281       0.6237       0.7187,       7       1.6985       0.3193       1.0006       0.6643       0.8885,       7       1.6553       0.3077       0.7327       0.5743       0.7366
       8       1.6598       0.3478       0.8178       0.8773       0.9435,       8       1.6526       0.3025       0.8111       0.6129       0.7565,       8       1.7123       0.3470       0.8885       0.7585       1.0086,       8       1.6024       0.3654       0.8890       0.7254       0.9534,       8       1.7521       0.3019       0.8289       0.8060       1.0224,       8       1.6754       0.3374       0.8327       0.5999       0.8974,       8       1.6693       0.3338       0.8741       0.8793       1.0237,       8       1.6891       0.3045       0.8029       0.7879       0.9229,       8       1.7524       0.3310       0.8689       0.7066       0.9757,       8       1.6603       0.3660       0.9209       0.6841       0.7714
       9       1.7274       0.3180       0.7845       0.6979       0.8984,       9       1.6649       0.3174       0.7642       0.7356       0.8434,       9       1.6881       0.3379       0.9067       0.7906       0.8223,       9       1.7157       0.2996       0.8344       0.6506       0.7353,       9       1.6661       0.3475       1.0195       0.6911       0.7483,       9       1.7110       0.3078       0.8901       0.5632       0.8746,       9       1.7524       0.2876       0.8415       0.6035       0.7567,       9       1.6717       0.3140       0.8923       0.6058       0.7639,       9       1.6531       0.3498       0.9054       0.6728       0.7751,       9       1.6773       0.3487       0.8964       0.6309       0.9039
      10       1.6350       0.3614       0.7656       0.7009       0.7321,      10       1.6752       0.2977       0.8597       0.6711       0.7531,      10       1.6308       0.3404       0.9002       0.7073       0.9654,      10       1.7302       0.3272       0.7736       0.6485       0.8307,      10       1.6709       0.3230       0.8432       0.8002       0.8041,      10       1.6748       0.3284       0.7632       0.7902       0.9484,      10       1.6373       0.3306       0.7598       0.5591       0.7336,      10       1.6968       0.3028       0.7460       0.7809       0.9149,      10       1.6830       0.3299       1.0277       0.6789       0.8136,      10       1.7060       0.3319       0.7645       0.6100       0.9130
