#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5578       0.2157       1.0199       0.9219       0.9174
       3       1.6643       0.2289       1.0426       0.9171       0.8875
       4       1.7137       0.2190       1.1878       0.9114       0.9078
       5       1.7508       0.2337       1.1991       1.0305       0.9883
       6       1.7393       0.2233       1.1639       1.0094       1.0497
       7       1.7033       0.3289       1.2070       0.6747       0.9766
       8       1.7317       0.3338       1.2938       0.9734       1.1958
       9       1.7278       0.3563       1.1028       0.8041       1.0231
      10       1.6968       0.3557       1.2983       0.7396       1.1270
      11       1.7153       0.3462       1.2296       0.8395       0.9964
      12       1.6135       0.7778       1.6280       0.6809       1.1566
      13       1.6795       0.8392       1.6687       0.6598       1.0039
      14       1.7614       0.7832       1.8566       0.8013       1.0759
      15       1.6068       0.9448       1.9187       0.5450       1.0795
      16       1.6920       0.8625       1.6833       0.9924       1.0989
      17       2.3059       1.1551       1.6626       1.0047       1.4459
      18       1.9960       1.2388       2.1476       1.0642       2.1321
      19       2.5831       1.0856       2.9281       1.0571       1.7277
      20       1.8617       1.4266       1.9240       1.1188       1.6455
      21       1.0503       1.2400       2.1466       0.3678       1.1707
      22       1.6080       1.2826       1.3326       0.4798       1.2573
      23       2.4250       1.5250       1.4830       0.6770       1.1979
      24       1.5408       1.6905       2.3104       0.6022       1.2211
      25       1.4140       1.2746       2.7866       0.9778       1.2577
      26       1.8192       1.5008       4.8188       0.6714       1.5678
      27       1.3871       1.6769       2.5120       0.9112       0.9910
      28       1.2442       1.4090       4.7119       0.6772       1.4352
      29       2.6817       1.8486       4.9021       0.6966       1.6310
      30       1.5853       1.7566       4.0171       0.8490       1.2290
      31       1.5801       1.5289       4.1930       0.8438       1.4312
      32       2.3864       1.7162       4.3166       0.5361       1.2931
      33       1.6661       1.6794       3.5660       0.6969       1.2854
      34       2.6180       1.8006       4.1609       0.7293       2.0016
      35       2.1204       1.4635       4.8583       0.7713       1.4575
      36       1.1151       1.6956       3.7631       0.4671       1.2364
      37       1.2888       1.5336       4.0762       0.3865       1.1332
      38       1.6807       1.5267       4.7336       0.8707       1.5083
      39       1.1085       1.3861       3.9404       0.4867       0.8024
      40       2.7950       1.4285       5.4460       0.5693       1.8670
      41       1.6149       1.3406       3.5196       0.7714       1.1924
      42       1.2731       1.5653       3.5610       0.3442       1.4491
      43       1.6135       1.3693       5.3929       0.4664       1.2736
      44       2.1217       1.4746       5.3012       0.4904       1.2639
      45       2.3577       1.4018       6.3985       0.5820       1.3845
      46       1.3908       1.5236       6.2337       0.5627       1.4711
      47       1.5164       1.3265       5.4778       0.8380       1.2677
      48       1.5197       1.2839       4.4288       0.6437       1.0273
      49       1.4658       1.2853       4.0071       0.5227       1.0287
      50       1.3208       1.3588       4.5402       0.5760       1.3520
      51       1.8908       1.2457       4.2251       0.6657       0.8446
      52       1.9783       1.2549       5.6940       0.5791       1.2947
      53       2.2171       1.3160       5.4952       0.6859       1.1096
      54       2.8781       1.4718       5.9939       0.6486       1.3883
      55       2.3160       1.5394       5.7319       1.1396       1.3514
      56       2.1367       1.4347       6.8939       0.6919       1.5896
