#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4091       0.1833       0.8577       0.8184       0.7739
       3       1.6589       0.1918       0.9442       1.0077       1.1088
       4       1.6886       0.1823       0.8876       0.9788       0.9298
       5       1.6932       0.1854       0.9380       1.0379       1.0377
       6       1.7435       0.1812       1.0341       1.0759       1.0401
       7       1.7342       0.3229       1.1022       1.0612       1.0250
       8       1.6515       0.2999       0.8856       0.8597       0.8742
       9       1.6860       0.3112       0.8412       0.8512       0.8457
      10       1.6887       0.3025       1.0383       0.9010       0.9087
      11       1.7084       0.3115       0.9319       0.9820       0.9906
      12       1.5396       0.7279       2.6847       0.8154       0.8512
      13       1.9357       0.8466       2.5301       0.8320       0.6270
      14       1.6568       0.8528       1.7891       0.5353       0.4649
      15       1.9172       0.9208       2.3689       0.4451       0.4539
      16       2.0052       0.8684       2.3306       0.5481       0.4401
      17       2.4884       1.3813       2.4463       0.7655       0.7302
      18       3.2041       1.3793       1.5598       0.6445       0.3470
      19       2.5499       1.3109       1.8396       0.5929       0.4696
      20       2.3383       1.4489       1.2252       0.7672       0.7301
      21       2.8352       1.8403       1.4673       1.0866       1.1690
      22       3.7664       2.1406       1.6973       0.5873       0.4172
      23       2.4787       1.8913       1.3448       0.5257       0.5550
      24       3.1093       2.0032       1.5569       0.5933       0.5883
      25       1.5175       2.1547       1.4243       0.7155       0.6073
      26       1.2808       1.9693       2.1419       0.5985       0.4442
      27       1.4723       1.8562       0.9829       0.5071       0.5329
      28       2.0472       1.8303       0.8817       0.5599       0.7126
      29       2.0668       2.0662       0.6212       0.6402       0.3748
      30       2.2455       2.0497       0.6143       0.4708       0.2500
      31       1.8796       1.9187       0.4201       0.5777       0.3028
      32       2.2303       2.0832       0.8363       0.5471       0.0438
      33       1.7816       2.1257       0.7731       0.6196       0.4904
      34       2.3418       1.9106       0.8317       0.7167       0.6870
      35       1.7298       1.7336       1.8847       0.7358       0.9506
      36       2.0089       2.2358       1.3743       0.5149       0.2802
      37       2.6026       2.2436       0.8951       0.7362       1.0914
      38       1.6346       2.2943       1.3135       0.6651       0.1538
      39       2.0153       2.2646       1.0567       0.6111       0.4665
      40       1.8330       2.1761       0.4084       0.3954       0.4272
      41       1.5131       2.7019       0.6312       0.5498       0.5653
      42       1.6159       2.3404       0.6992       0.6873       0.6610
      43       1.7027       2.1860       1.1597       0.6467       0.3425
      44       2.1000       2.1502       1.2406       0.7165       0.9531
      45       1.5037       2.2201       0.8807       0.8249       0.9924
      46       1.9914       2.4627       0.5866       0.6437       0.3259
      47       2.6556       2.4545       0.7613       0.4312       0.5976
      48       2.2379       2.1239       0.9551       0.4503       0.2291
      49       2.0326       2.1588       0.8174       0.8963       0.8145
      50       1.8539       2.0065       0.7970       0.7157       0.6419
      51       1.5392       2.2043       0.5321       0.6678       0.9025
