#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000,       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4392       0.1984       0.8177       0.8205       0.8091,       2       1.3560       0.1777       0.7107       0.8346       0.8059,       2       1.5541       0.1846       0.9731       0.9920       0.9650,       2       1.4736       0.1882       0.8494       0.8543       0.8168,       2       1.4791       0.1922       0.7754       0.8769       0.8927,       2       1.4091       0.1833       0.8577       0.8184       0.7739,       2       1.4732       0.2014       0.7687       0.8089       0.7767,       2       1.5148       0.1952       0.8229       0.9225       0.8802,       2       1.5144       0.1777       0.8112       0.8551       0.8257,       2       1.5257       0.1879       0.7846       0.9286       0.9005
       3       1.6417       0.1836       0.8173       0.9321       0.9381,       3       1.5226       0.2050       0.8000       0.9253       0.8514,       3       1.6707       0.1895       0.8766       1.0041       1.0813,       3       1.6063       0.2016       0.9136       1.0001       1.0443,       3       1.6561       0.1854       0.8652       1.0077       0.9401,       3       1.6589       0.1918       0.9442       1.0077       1.1088,       3       1.7111       0.1774       0.8323       0.9986       0.9002,       3       1.6211       0.1803       0.8441       0.9660       0.9251,       3       1.6466       0.1926       0.9039       0.9189       0.9592,       3       1.6654       0.1880       0.9089       1.0776       0.9686
       4       1.6940       0.1855       0.9268       0.9517       0.9755,       4       1.6119       0.1810       0.8557       0.9140       0.8933,       4       1.7045       0.1799       0.9008       1.0305       0.9034,       4       1.6799       0.1822       0.8916       0.9167       0.8638,       4       1.7066       0.1872       0.9374       1.0610       1.0372,       4       1.6886       0.1823       0.8876       0.9788       0.9298,       4       1.7241       0.1873       0.7862       0.9666       0.8795,       4       1.7032       0.1829       0.9344       1.0478       0.9514,       4       1.6432       0.1944       0.8965       1.0047       1.0079,       4       1.7111       0.1918       0.8915       0.9650       0.9321
       5       1.6855       0.1844       0.8660       0.9611       0.9867,       5       1.6450       0.1873       0.8360       0.8962       0.8219,       5       1.7200       0.1883       0.9333       1.0512       1.0839,       5       1.6933       0.1842       0.8149       0.9844       0.9327,       5       1.6976       0.1894       0.9872       1.0304       0.9638,       5       1.6932       0.1854       0.9380       1.0379       1.0377,       5       1.7190       0.1923       1.0227       1.0540       1.1592,       5       1.7210       0.1854       1.0511       0.9532       0.9568,       5       1.7197       0.1846       0.9134       1.0308       0.9831,       5       1.7309       0.1891       0.8204       0.9830       0.9516
       6       1.7071       0.1767       0.8373       0.9286       0.9326,       6       1.6933       0.1803       0.9218       1.0458       0.9881,       6       1.7299       0.1881       1.0287       1.0431       1.0153,       6       1.6981       0.1847       0.9709       1.0532       1.0383,       6       1.6901       0.1855       0.9016       0.9513       0.8826,       6       1.7435       0.1812       1.0341       1.0759       1.0401,       6       1.7340       0.1863       0.8992       1.0612       1.0732,       6       1.6603       0.1894       0.9007       0.9470       0.8461,       6       1.7021       0.1732       0.9723       0.9963       0.9964,       6       1.7685       0.1931       0.9078       0.9870       0.9667
       7       1.7161       0.3177       0.8781       0.7096       0.7692,       7       1.7191       0.3139       0.8885       0.8681       0.8348,       7       1.6416       0.3271       0.8216       0.7484       0.6824,       7       1.6988       0.2915       0.9881       0.9667       1.0010,       7       1.6627       0.2851       0.9336       0.9551       0.9713,       7       1.7342       0.3229       1.1022       1.0612       1.0250,       7       1.6353       0.3509       0.8113       0.7414       0.6924,       7       1.5880       0.3349       0.9059       0.8959       0.8361,       7       1.7140       0.3077       0.8591       1.0479       0.9089,       7       1.7020       0.3299       1.0688       1.0442       1.0344
       8       1.5875       0.3054       0.9665       0.9479       1.0334,       8       1.7817       0.2930       0.9919       0.9249       0.8900,       8       1.6336       0.3189       0.7468       0.7709       0.7581,       8       1.6591       0.3247       0.9273       1.1003       1.1428,       8       1.5845       0.3169       0.8763       0.8860       0.9047,       8       1.6515       0.2999       0.8856       0.8597       0.8742,       8       1.5984       0.2998       0.7872       0.8859       0.8308,       8       1.6452       0.2929       0.8508       0.8059       0.8153,       8       1.6799       0.2951       0.9702       0.9845       1.0667,       8       1.7403       0.3021       0.7879       1.0052       0.8945
       9       1.6949       0.2956       0.8195       0.9216       0.8828,       9       1.7653       0.3059       0.8844       0.8940       0.9213,       9       1.6223       0.3419       0.9259       0.6389       0.6037,       9       1.6284       0.3439       1.0058       1.0295       1.1216,       9       1.6741       0.3226       0.8441       0.8421       0.7317,       9       1.6860       0.3112       0.8412       0.8512       0.8457,       9       1.5991       0.3369       0.7749       0.8209       0.8011,       9       1.6509       0.3060       0.9066       0.6931       0.6578,       9       1.6496       0.3051       0.8586       0.8112       0.7861,       9       1.7415       0.2910       0.9411       0.8757       0.9207
      10       1.6406       0.3144       0.8844       0.7400       0.6910,      10       1.7202       0.3076       0.8638       0.9698       0.9340,      10       1.7543       0.3022       0.8402       0.9137       0.9117,      10       1.6439       0.3006       0.9138       0.9800       0.8695,      10       1.6241       0.3229       1.0680       0.9779       0.8950,      10       1.6887       0.3025       1.0383       0.9010       0.9087,      10       1.6091       0.3496       0.5849       0.7823       0.6675,      10       1.5579       0.3530       0.8732       0.7801       0.8294,      10       1.6494       0.3068       0.9512       0.8556       0.8208,      10       1.7313       0.2968       0.8821       0.9976       1.0029
      11       1.7266       0.3081       0.9364       0.8597       0.7370,      11       1.6520       0.3102       0.9330       0.7575       0.7291,      11       1.7102       0.3009       0.9095       0.9381       0.8746,      11       1.7052       0.3139       0.9480       0.8761       0.8742,      11       1.6292       0.3081       0.7674       0.8016       0.6880,      11       1.7084       0.3115       0.9319       0.9820       0.9906,      11       1.6483       0.3366       0.8546       0.9612       0.9134,      11       1.6652       0.2976       0.8224       0.9579       0.9405,      11       1.6910       0.2981       0.9761       0.9629       0.9806,      11       1.6992       0.3011       0.9286       0.9463       1.0018
      12       1.6245       0.7750       2.0190       0.8334       0.8823,      12       1.4560       0.7813       1.4079       0.7336       0.9135,      12       1.3000       0.7989       0.9949       0.9695       1.0857,      12       1.4051       1.3835       1.5256       0.6134       0.4315,      12       1.3785       1.0138       0.8804       0.9267       0.9820,      12       1.5396       0.7279       2.6847       0.8154       0.8512,      12       1.5979       0.7395       0.9091       0.8905       0.8605,      12       1.2516       0.8525       1.8413       1.0347       1.1563,      12       1.5110       1.2834       1.5450       0.6376       1.0170,      12       1.6005       0.8955       1.3472       0.9204       0.9884
      13       1.5731       1.1681       1.5169       1.0324       1.0196,      13       1.5940       1.0763       1.4489       1.0802       1.1312,      13       1.2442       0.7068       0.9769       0.7163       0.5583,      13       1.4321       1.1092       1.8816       0.7779       1.2967,      13       1.3889       0.8935       1.5168       1.1765       1.0343,      13       1.9357       0.8466       2.5301       0.8320       0.6270,      13       1.1303       1.0533       1.1099       0.4651       0.7985,      13       1.2845       0.9899       1.6224       1.0466       1.0655,      13       1.4991       0.9151       2.4884       0.8421       0.7235,      13       1.6047       0.7414       1.3575       1.1770       1.6769
