#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4857       0.2215       0.7076       0.6235       0.6765
       3       1.6366       0.2111       0.8711       0.7326       0.7343
       4       1.6757       0.2233       0.8564       0.7885       0.9308
       5       1.6928       0.2187       0.7827       0.7085       0.6157
       6       1.6740       0.2215       0.8589       0.6485       0.7554
       7       1.7081       0.3449       0.8998       0.4547       0.5955
       8       1.6736       0.3437       0.8968       0.5919       0.6603
       9       1.6378       0.3398       0.7343       0.4818       0.7623
      10       1.6203       0.3871       0.8821       0.5876       0.7877
      11       1.7069       0.3373       0.8549       0.6468       0.7700
      12       1.3399       0.8581       2.0442       0.7735       0.8176
      13       1.4767       1.0432       2.5576       0.8195       0.9004
      14       1.8130       0.8305       2.6378       0.6200       0.7379
      15       1.6016       0.8847       2.8022       0.6546       0.7251
      16       1.5012       1.0615       2.1593       0.9460       0.9592
      17       1.2434       1.0794       2.9470       1.2805       1.1974
      18       1.3002       1.0312       2.7877       0.9749       1.1304
      19       1.3099       1.3334       2.2504       1.0412       1.5191
      20       1.4293       1.2304       2.3018       1.2749       1.4732
      21       1.5821       1.5191       2.6430       1.1137       1.2991
      22       1.7523       1.5442       0.8162       0.9024       0.8258
      23       1.3692       1.4343       3.1541       1.2091       1.5437
      24       1.9393       1.7824       2.4753       1.4264       1.9668
      25       1.3555       1.3396       2.1026       0.9598       1.2533
      26       1.9630       1.7751       2.0380       1.1771       1.5519
      27       2.4452       1.7039       2.8831       1.1007       1.4276
      28       2.4059       1.4515       2.4508       1.2483       1.4047
      29       1.5698       1.7154       2.1770       1.1935       1.4523
      30       1.6059       1.7511       2.6265       1.0714       1.3657
      31       1.5491       1.7667       2.1464       1.2958       1.3112
      32       1.2042       1.5162       2.8075       1.2530       1.4361
      33       2.0196       1.5808       2.0572       0.7838       0.7787
      34       1.8620       1.4213       2.0439       1.0780       0.8167
      35       1.4885       1.5959       1.9525       0.9164       1.1067
      36       2.0853       1.6643       1.8972       0.9260       0.8862
      37       1.9766       1.9671       2.0069       1.2692       1.4290
      38       1.6320       1.9932       2.1208       0.9701       1.0226
      39       1.3991       1.9665       2.1947       1.0451       1.2583
      40       1.8553       1.8925       2.4366       1.1987       1.1478
      41       1.7672       1.7927       2.0612       1.2737       1.3129
      42       1.7169       1.9564       1.9610       0.9290       1.0587
      43       2.0717       1.6287       2.1030       1.2575       1.4039
      44       2.3152       1.7759       2.1166       0.9484       1.0228
      45       2.3617       1.9305       2.1340       0.7968       1.1152
      46       2.0549       1.9356       1.8393       0.6528       0.5394
      47       2.1250       1.6181       1.7873       0.7896       0.8405
      48       2.0668       1.8742       2.0126       0.6361       0.8889
      49       2.9234       1.7270       2.3459       0.8865       0.9010
      50       2.6635       1.8577       2.1864       0.9303       0.8708
      51       2.3452       1.7441       2.3926       0.7797       0.6837
      52       2.0727       2.3820       2.4769       1.1190       1.2051
      53       1.9238       2.1885       2.0085       0.7823       1.0631
      54       2.5536       1.6497       2.8143       1.1788       1.3912
      55       1.8395       2.0020       2.2548       1.2564       1.2807
      56       1.4904       2.1565       2.0832       1.4613       1.4714
