#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0       63    0.315    2.747    0.930       69    4.171
       1       55    0.275    2.297    0.596      112    4.577
       2       33    0.165    2.088    0.487       16    3.392
       3        4    0.020    1.581    0.199       36    4.567
       4        4    0.020    1.448    0.279       84    4.580
       5        3    0.015    1.310    0.153       39    5.063
       6        2    0.010    1.405    0.000       58    6.638
       7        2    0.010    1.405    0.000       71    4.848
       8        2    0.010    1.305    0.000      139    3.914
       9        2    0.010    1.090    0.000      140    3.881
      10        2    0.010    1.347    0.000      165    4.231
      11        2    0.010    1.263    0.000      199    4.816
