#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.1867       1.3937
       3       0.1751       1.5921
       4       0.1659       1.6514
       5       0.1847       1.6737
       6       0.1667       1.7495
       7       0.3311       1.6428
       8       0.2791       1.6783
       9       0.3327       1.6162
      10       0.2833       1.7516
      11       0.3089       1.6202
      12       0.7807       1.5653
      13       0.7700       1.4657
      14       0.9919       1.4012
      15       0.8144       1.2442
      16       0.8195       1.5374
      17       1.2853       2.1837
      18       1.3765       1.5794
      19       1.2154       1.9323
      20       1.6153       2.6784
      21       1.3694       2.0021
      22       1.5530       1.4912
      23       1.3143       1.4832
      24       1.7396       1.3347
      25       1.1784       1.2496
      26       1.1623       1.4136
      27       1.2192       1.2234
      28       1.3424       0.9766
      29       1.5411       0.9494
      30       1.3455       0.9140
      31       1.2252       1.0052
      32       1.2384       1.5695
      33       1.3467       1.1072
      34       1.1544       1.0422
      35       1.4005       1.1309
      36       1.3240       1.0865
      37       1.2854       1.8143
      38       1.1150       1.3756
      39       1.1864       1.4550
      40       1.2767       1.3754
      41       1.4489       1.2861
      42       1.4617       0.9436
      43       1.7318       1.2086
      44       1.7717       1.3915
      45       1.2729       1.6161
      46       1.3963       2.1138
      47       1.3567       2.6083
      48       1.3867       1.7286
      49       1.1859       2.0619
      50       1.3149       2.3732
      51       1.7130       2.0529
      52       1.6642       2.0616
      53       1.6339       1.8937
      54       1.4928       1.8544
      55       1.5721       2.2444
      56       1.4321       2.6865
      57       1.6088       2.1971
      58       1.6489       1.7690
      59       1.8144       1.5198
      60       1.7915       2.1213
      61       1.6967       2.0466
      62       1.9321       1.4478
      63       1.5304       2.0100
      64       2.0283       1.9429
      65       1.8454       1.6552
      66       1.8885       2.6262
      67       1.6225       3.4461
      68       1.4029       3.0090
      69       1.7633       2.2015
      70       1.7332       2.0912
      71       1.5813       1.7637
      72       1.8301       1.5738
      73       1.8222       1.7555
      74       1.6796       2.1849
      75       1.7305       2.1680
      76       1.5732       1.8769
      77       1.7109       1.8808
      78       1.7504       1.6511
      79       1.6981       2.2351
      80       1.6777       1.5380
      81       2.0933       1.8718
      82       2.0437       2.5433
      83       1.7294       2.4777
      84       2.0980       2.1252
      85       1.7446       1.8767
      86       1.9579       2.4217
