#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000,       1       0.0000       0.0000
       2       0.1751       1.5273,       2       0.1768       1.5182,       2       0.1701       1.4945,       2       0.1800       1.5866,       2       0.1867       1.3937,       2       0.1686       1.4251,       2       0.1705       1.5481,       2       0.1940       1.4392,       2       0.1757       1.4752,       2       0.1826       1.4797
       3       0.1902       1.6167,       3       0.1726       1.6229,       3       0.1755       1.5769,       3       0.1798       1.6835,       3       0.1751       1.5921,       3       0.1738       1.5514,       3       0.1739       1.6617,       3       0.1730       1.6074,       3       0.1800       1.6514,       3       0.1694       1.5795
       4       0.1731       1.6669,       4       0.1740       1.6493,       4       0.1690       1.6342,       4       0.1764       1.7297,       4       0.1659       1.6514,       4       0.1814       1.6613,       4       0.1790       1.7148,       4       0.1650       1.6782,       4       0.1781       1.6485,       4       0.1733       1.6596
       5       0.1826       1.6715,       5       0.1797       1.6843,       5       0.1864       1.6307,       5       0.1874       1.6717,       5       0.1847       1.6737,       5       0.1921       1.6786,       5       0.1781       1.6459,       5       0.1775       1.6789,       5       0.1764       1.6518,       5       0.1777       1.7050
       6       0.1797       1.7054,       6       0.1820       1.6900,       6       0.1789       1.7046,       6       0.1711       1.7152,       6       0.1667       1.7495,       6       0.1772       1.6660,       6       0.1809       1.6954,       6       0.1744       1.6623,       6       0.1945       1.6798,       6       0.1774       1.6920
       7       0.2974       1.6843,       7       0.2983       1.6623,       7       0.3061       1.5945,       7       0.3029       1.6782,       7       0.3311       1.6428,       7       0.3314       1.6355,       7       0.3130       1.6886,       7       0.3084       1.5850,       7       0.3301       1.5771,       7       0.3044       1.5891
       8       0.3077       1.6490,       8       0.3043       1.6104,       8       0.2812       1.6962,       8       0.3097       1.6327,       8       0.2791       1.6783,       8       0.3093       1.6655,       8       0.2934       1.6342,       8       0.3017       1.6796,       8       0.3617       1.5784,       8       0.2875       1.6607
       9       0.2817       1.7535,       9       0.3067       1.6717,       9       0.2772       1.7020,       9       0.3177       1.7018,       9       0.3327       1.6162,       9       0.3255       1.7045,       9       0.3150       1.6426,       9       0.3095       1.6377,       9       0.3675       1.6466,       9       0.2999       1.7382
      10       0.2982       1.6889,      10       0.2840       1.6917,      10       0.3177       1.6553,      10       0.2849       1.6465,      10       0.2833       1.7516,      10       0.3014       1.6947,      10       0.2991       1.7094,      10       0.2911       1.6161,      10       0.3221       1.6558,      10       0.3468       1.6254
