#Frame           CRBN        GSPT1
       1       0.0000       0.0000
       2       0.2181       1.4784
       3       0.2228       1.6524
       4       0.2232       1.7170
       5       0.2204       1.7329
       6       0.2056       1.7458
       7       0.3357       1.8529
       8       0.3186       1.8138
       9       0.3485       1.8986
      10       0.3194       1.8619
      11       0.3298       1.7648
      12       0.6792       1.7495
      13       0.7415       1.9975
      14       0.7338       2.1029
      15       0.7537       1.8619
      16       0.7635       1.9942
      17       1.3690       2.4031
      18       1.4862       2.4337
      19       1.4622       2.3972
      20       1.6642       3.2611
      21       1.6015       3.2141
      22       1.5912       3.1139
      23       1.5450       3.3358
      24       1.3195       3.5569
      25       1.4416       3.3842
      26       1.5209       3.4798
      27       1.5034       3.6529
      28       1.5027       4.6172
      29       1.3987       5.4026
      30       1.3747       4.9596
      31       1.3517       5.5651
      32       1.5073       5.1413
      33       1.4226       5.7634
      34       1.6283       6.4574
      35       1.5424       5.2989
      36       1.4881       5.0668
      37       1.4008       4.6761
      38       1.4379       5.3317
      39       1.3904       4.5619
      40       1.4187       4.4972
      41       1.4548       4.3242
      42       1.6952       5.3741
      43       1.5860       5.5865
      44       1.5702       4.7542
      45       1.6393       4.6313
      46       1.6265       5.8659
      47       1.5495       6.1749
      48       1.5576       6.2448
      49       1.5997       6.5124
      50       1.6183       6.3657
      51       1.5386       6.6050
      52       1.6456       6.0108
      53       1.5953       6.0365
      54       1.6703       5.6186
      55       1.7035       6.1404
      56       1.8781       5.6457
